method,missing_mode,missing_value,metric,n,win_rate,median_improvement,mne_median,trss_median
trss_default,nearby,0.1,lsd,15,0.5333333333333333,0.040650561386504185,0.7049502424838496,0.6094180906548514
trss_default,nearby,0.1,runtime_s,15,0.0,-8.179420744063911,0.0118374270005006,0.1253768169990508
trss_default,nearby,0.3,mae,15,0.8,0.41193924780073876,1.6725279526051387e-05,1.0417297517728756e-05
trss_default,nearby,0.3,nrmse,15,0.8,0.3782782562804563,1.3183161549399234,0.7455990591035044
trss_default,nearby,0.3,lsd,15,0.5333333333333333,0.04745258898210407,0.7512578232029653,0.7691657319062719
trss_default,nearby,0.3,runtime_s,15,0.0,-11.423486195973966,0.008091861000139,0.1294400280003174
trss_default,nearby,0.4,mae,15,0.8666666666666667,0.4081382557442353,1.830426284738241e-05,1.15978189409816e-05
trss_default,nearby,0.4,nrmse,15,0.8666666666666667,0.42783439124261646,1.2247769942706828,0.7909611152039794
trss_default,nearby,0.4,lsd,15,0.6666666666666666,0.059840265890483864,0.9672120065313864,0.8009184242874697
trss_default,nearby,0.4,runtime_s,15,0.0,-11.570482202043129,0.0088847779989009,0.1020480240003962
trss_default,nearby,1.0,mae,15,0.6666666666666666,0.11771067816647533,7.1426032661807575e-06,5.9479716023064e-06
trss_default,nearby,1.0,nrmse,15,0.6666666666666666,0.11784925701384497,0.5755153769025986,0.6072817826709733
trss_default,nearby,1.0,lsd,15,0.26666666666666666,-0.07724916495382456,0.4258205144358072,0.4529838852758558
trss_default,nearby,1.0,runtime_s,15,0.0,-9.04298275941019,0.0099080679992766,0.1222409799993329
trss_default,nearby,2.0,mae,15,0.4666666666666667,-0.00012531246114492832,7.580970696981434e-06,6.970889913804425e-06
trss_default,nearby,2.0,nrmse,15,0.5333333333333333,0.024968301241069323,0.5876372404961155,0.6688184221103172
trss_default,nearby,2.0,lsd,15,0.5333333333333333,0.026691109422089684,0.4689318270436614,0.4866486448273973
trss_default,nearby,2.0,runtime_s,15,0.0,-9.522763671494062,0.0086292880005203,0.1174449469999672
trss_default,random,0.1,mae,15,0.6666666666666666,0.05711481996728506,8.167230697790527e-06,7.941639714375702e-06
trss_default,random,0.1,nrmse,15,0.6666666666666666,0.04865074135970421,0.4818496385846271,0.5053531904112739
trss_default,random,0.1,lsd,15,0.4666666666666667,-0.0036573132298372978,0.5065590318247709,0.460378331073098
trss_default,random,0.1,runtime_s,15,0.0,-9.020012322360953,0.0096389070004079,0.1264025210002728
trss_default,random,0.3,mae,15,0.7333333333333333,0.07330740879772435,9.98486863866202e-06,8.581129794996262e-06
trss_default,random,0.3,nrmse,15,0.7333333333333333,0.10076253719032602,0.6811273350956296,0.601479218474383
trss_default,random,0.3,lsd,15,0.3333333333333333,-0.020739530053462588,0.5696313232868305,0.5474667141924924
trss_default,random,0.3,runtime_s,15,0.0,-12.459624897000506,0.0088551850003568,0.1259986509994632
trss_default,random,0.4,mae,15,0.8,0.12952463733688077,1.1184082706479066e-05,9.620114045759184e-06
trss_default,random,0.4,nrmse,15,0.8,0.1512675991887745,0.713443819448255,0.617821488278916
trss_default,random,0.4,lsd,15,0.5333333333333333,0.020966012249799278,0.5587384848281121,0.5413791935214906
trss_default,random,0.4,runtime_s,15,0.0,-10.291102595872697,0.0083475200008251,0.1067945109989523
trss_default,random,1.0,mae,15,0.6666666666666666,0.11771067816647533,7.1426032661807575e-06,5.9479716023064e-06
trss_default,random,1.0,nrmse,15,0.6666666666666666,0.11784925701384497,0.5755153769025986,0.6072817826709733
trss_default,random,1.0,lsd,15,0.26666666666666666,-0.07724916495382456,0.4258205144358072,0.4529838852758558
trss_default,random,1.0,runtime_s,15,0.06666666666666667,-8.42635816184795,0.0085596389999409,0.1238379750011517
trss_default,random,2.0,mae,15,0.7333333333333333,0.04809244351139963,7.154922594631969e-06,5.802521449571075e-06
trss_default,random,2.0,nrmse,15,0.6,0.03360814288765763,0.4758834867639626,0.4234471419179398
trss_default,random,2.0,lsd,15,0.13333333333333333,-0.07901903977298157,0.5267845695342982,0.5927123928658842
trss_default,random,2.0,runtime_s,15,0.0,-7.022753988867912,0.0106884970009559,0.1295866649998061
trss_cv_tuned_seed0,edge,0.1,mae,15,0.7333333333333333,0.24382120576806843,1.734584541016086e-05,1.1265943059160778e-05
